DATE,ORIGIN_TO_ADDRESS,ORIGIN_TO_LABELED,NUM_ATTESTATIONS,NUM_UNIQUE_ATTESTATION_ADDRESSES,NUM_DUPLICATE_ATTESTATIONS
1/12/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1120,1077,43
1/11/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,676,668,8
1/7/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1626,1610,16
1/30/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,4641,4612,29
1/6/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,36,36,0
1/17/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,2374,2333,41
1/16/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,3293,3249,44
1/28/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1149,1141,8
1/5/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,6,6,0
1/20/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,824,811,13
1/22/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,632,623,9
1/25/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,752,721,31
1/14/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,2521,2499,22
1/9/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,838,827,11
1/19/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1082,1078,4
1/10/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,929,915,14
1/8/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1127,1117,10
1/23/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,629,615,14
1/21/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,688,679,9
1/18/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1091,1084,7
1/29/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1285,1279,6
1/15/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,3442,3397,45
1/13/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,1550,1509,41
1/24/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,590,586,4
1/26/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,878,859,19
1/27/2023,0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2,Clique,951,944,7
12/25/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,78,73,5
12/23/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,93,86,7
1/30/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,5210,4573,637
12/18/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,812,701,111
1/2/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,44,41,3
1/27/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1803,1642,161
1/28/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1490,1321,169
12/24/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,116,97,19
1/3/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,320,296,24
1/4/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,86,70,16
12/19/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,396,369,27
12/16/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,2440,2145,295
1/6/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,47,40,7
1/7/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,185,159,26
12/21/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,214,186,28
1/21/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1497,1344,153
12/27/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,53,51,2
1/12/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,253,213,40
1/25/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1365,1210,155
1/9/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,327,280,47
1/23/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1266,1123,143
1/13/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,518,455,63
1/16/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,3609,2963,646
12/30/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,36,30,6
1/1/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,38,36,2
12/22/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,124,117,7
1/26/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1333,1140,193
1/14/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,2308,1918,390
1/22/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1217,1092,125
12/15/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,398,340,58
12/17/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1410,1281,129
12/20/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,269,241,28
1/19/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1566,1433,133
12/31/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,41,38,3
1/29/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,2225,2064,161
12/29/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,54,50,4
12/28/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,69,63,6
1/17/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,2744,2307,437
1/11/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,547,474,73
1/5/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,45,43,2
12/26/2022,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,54,45,9
1/18/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1615,1400,215
1/15/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,3302,2699,603
1/20/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,1963,1743,220
1/10/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,581,480,101
1/8/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,713,600,113
1/24/2023,0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b,Flipside,912,805,107
1/3/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,19,17,2
12/21/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,7,7,0
12/15/2022,0x60c5c9c98bcbd0b0f2fd89b24c16e533baa8cda3,Other,4,2,2
1/30/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,63,49,14
12/23/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,15,15,0
1/18/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,8,8,0
1/27/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,12,12,0
1/8/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,7,5,2
12/31/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,18,18,0
