"ATTESTATION_NUMBER","NUMBER_OF_ADDRESSES","AVG_TIME_BETWEEN_ATTESTS","MED_TIME_BETWEEN_ATTESTS","AVG_DIFF_IN_SCORES","MED_DIFF_IN_SCORES"
1,36787,NA,NA,NA,NA
2,6684,3156.532765,2,0.1732495512,0
3,1503,3379.434464,13,0.1763140386,0
4,482,3396.311203,26,0.1908713693,0
5,173,2437.017341,15,0.2369942197,0
6,78,2337.25641,7,0.1538461538,0
7,31,3167.741935,1,0.03225806452,0
8,16,1917.25,1,0.125,0
9,11,925.909091,1,0.09090909091,0
10,7,3.285714,2,0,0
11,4,5.75,1.5,0,0
12,4,9,9.5,0,0
13,3,3113,2450,0.3333333333,0
14,2,21,21,0,0
15,1,235,235,0,0
